Box File Plastik BINDEX;Box File Plastik BINDEX;3;18500;
Buku Folio Kiky 100 14;Buku Folio Kiky 100 14;3;17500;
Buku Kwitansi AA Besar;Buku Kwitansi AA Besar;3;5000;
Buku Kwitansi SINAR DUNIA Besar;Buku Kwitansi SINAR DUNIA Besar;3;5000;
Buku Kwitansi SINAR DUNIA Kecil;Buku Kwitansi SINAR DUNIA Kecil;3;2500;
Buku Tamu Batik;Buku Tamu Batik;3;15000;
Buku Tulis AA 100 14 Ekspedisi;Buku Tulis AA 100 14 Ekspedisi;3;8500;
Buku Tulis AA 100 14 Folio;Buku Tulis AA 100 14 Folio;3;16000;
Buku Tulis AA 100 14 Kwarto;Buku Tulis AA 100 14 Kwarto;3;8500;
Buku Tulis BINTANG OBOR 100 14 Ekspedisi;Buku Tulis BINTANG OBOR 100 14 Ekspedisi;3;7500;
Buku Tulis BINTANG OBOR 100 14 Folio;Buku Tulis BINTANG OBOR 100 14 Folio;3;15000;
Buku Tulis BINTANG OBOR 100 14 Kwarto;Buku Tulis BINTANG OBOR 100 14 Kwarto;3;7500;
Buku Tulis BINTANG OBOR 40 14 Kwarto;Buku Tulis BINTANG OBOR 40 14 Kwarto;3;2500;
Buku Tulis Maxy (BOXY);Buku Tulis Maxy (BOXY);3;4000;
Buku Tulis RIA 100 14 Folio;Buku Tulis RIA 100 14 Folio;3;9000;
Buku Tulis RIA 100 14 Kwarto;Buku Tulis RIA 100 14 Kwarto;3;6000;
Cable Ties CV-292 KSS Nylon;Cable Ties CV-292 KSS Nylon;2;25000;
Calculator CASIO MX-12S;Calculator CASIO MX-12S;3;55000;
Calculator CITIZEN SDC-868;Calculator CITIZEN SDC-868;3;85000;
Calculator CITIZEN SDC-8780;Calculator CITIZEN SDC-8780;3;105000;
CD- Casing ;CD- Casing ;3;2200;
CD-R Sony ;CD-R Sony ;3;8500;
CD-R Verbatim ;CD-R Verbatim ;3;8000;
CD-R Verbatim Spindle (isi 50 pcs);CD-R Verbatim Spindle (isi 50 pcs);2;130000;
CDRW- Sony;CDRW- Sony;3;16500;
CD-RW Verbatim ;CD-RW Verbatim ;3;14000;
CDRW Verbatim Spindle isi 25;CDRW Verbatim Spindle isi 25;2;187500;
DVDR Verbatim Spindle isi 50;DVDR Verbatim Spindle isi 50;2;155000;
Cellotape PANFIX 1 x 72;Cellotape PANFIX 1 x 72;16;22000;
Cellotape PANFIX 1/2 x 10;Cellotape PANFIX 1/2 x 10;16;4750;
Cellotape PANFIX 1/2 x 36;Cellotape PANFIX 1/2 x 36;16;7000;
Cellotape PANFIX 1/2 x 72;Cellotape PANFIX 1/2 x 72;16;12000;
Cellotape Scotch Magic Tape 18x30;Cellotape Scotch Magic Tape 18x30;16;20000;
Clear Holder / Map Plastik Bening DAIICHI Folio;Clear Holder / Map Plastik Bening DAIICHI Folio;3;2250;
Clear Holder / Map Plastik Bening IMCO Folio;Clear Holder / Map Plastik Bening IMCO Folio;3;2250;
Clear Holder /Map Plastik Bening DAIiCHI A4;Clear Holder /Map Plastik Bening DAIiCHI A4;3;2250;
Clip JOYKO No.1;Clip JOYKO No.1;17;1500;
Clip JOYKO No.3;Clip JOYKO No.3;17;1350;
Clip JOYKO No.5;Clip JOYKO No.5;17;3000;
Clipboard Bantex 4205;Clipboard Bantex 4205;3;15000;
Computer File BAMBI Besar # 3400;Computer File BAMBI Besar # 3400;3;60000;
Computer File BAMBI Kecil # 3401;Computer File BAMBI Kecil # 3401;3;43500;
Computer File BANTEX Besar # 1562;Computer File BANTEX Besar # 1562;3;48500;
Computer File BANTEX Kecil # 1564;Computer File BANTEX Kecil # 1564;3;40000;
Cover Buffalo A4 ;Cover Buffalo A4 ;2;32500;
Cover Buffalo F4;Cover Buffalo F4;2;32500;
Cover Mika F4 / A4;Cover Mika F4 / A4;2;35000;
Cutter KENKO A-300;Cutter KENKO A-300;3;5000;
Cutter KENKO L-500;Cutter KENKO L-500;3;10000;
Desk Organizer Microdot 8312;Desk Organizer Microdot 8312;3;27500;
Dispenser Cellotape Kenko L-322;Dispenser Cellotape Kenko L-322;3;32500;
Dispenser Cellotape LION No.50;Dispenser Cellotape LION No.50;3;17500;
Divider BAMBI A4 10 Warna (2610);Divider BAMBI A4 10 Warna (2610);9;25000;
Divider BAMBI A4 12 Warna (2612);Divider BAMBI A4 12 Warna (2612);9;35000;
Divider BAMBI A4 5 Warna (2605);Divider BAMBI A4 5 Warna (2605);9;16000;
Divider BANTEX 10 Warna (6010);Divider BANTEX 10 Warna (6010);9;21000;
Divider BANTEX 1-12 (6211);Divider BANTEX 1-12 (6211);9;21000;
Divider BANTEX 1-31 (6212);Divider BANTEX 1-31 (6212);9;44000;
Divider BANTEX 5 Warna (6005);Divider BANTEX 5 Warna (6005);9;12000;
Divider BANTEX Jan-Dec (6219);Divider BANTEX Jan-Dec (6219);9;20000;
Document Keeper Isi 20;Document Keeper Isi 20;3;15000;
Document Keeper Isi 40;Document Keeper Isi 40;3;19500;
Document Keeper Isi 60;Document Keeper Isi 60;3;22500;
"Double Foam Tape 1""";"Double Foam Tape 1""";16;10000;
"Double Tape KENKO 1""";"Double Tape KENKO 1""";16;5000;
"Double Tape KENKO 1/2""";"Double Tape KENKO 1/2""";16;2500;
Gunting BEST LL-1;Gunting BEST LL-1;17;5000;
Gunting BEST SSS;Gunting BEST SSS;3;4000;
Gunting BEST XL;Gunting BEST XL;3;6000;
Gunting KENKO Besar 848;Gunting KENKO Besar 848;3;9000;
Gunting KENKO Kecil 838;Gunting KENKO Kecil 838;3;6500;
Ink 16er IR-40T;Ink 16er IR-40T;3;10000;
Isi Cutter KENKO A-100 Kecil;Isi Cutter KENKO A-100 Kecil;15;2500;
Isi Cutter KENKO L-150 Besar;Isi Cutter KENKO L-150 Besar;15;4750;
Isi Pensil Pilot 2B;Isi Pensil Pilot 2B;15;3500;
Karbon DAITO Folio Hitam;Karbon DAITO Folio Hitam;2;37500;
Karbon SAILING BOAT Folio;Karbon SAILING BOAT Folio;2;30000;
Karet Gelang 1 kg;Karet Gelang 1 kg;2;65000;
Karton Buffallo Plano;Karton Buffallo Plano;14;7500;
Karton Manila BC Plano ;Karton Manila BC Plano ;14;5000;
Kartu Absensi Amano polos;Kartu Absensi Amano polos;2;10000;
Kartu Absensi Amano Cap Apel;Kartu Absensi Amano Cap Apel;2;15000;
"Kertas ""FAX"" 210x 50";"Kertas ""FAX"" 210x 50";16;42500;
"Kertas ""FAX"" 210x100";"Kertas ""FAX"" 210x100";16;75000;
"Kertas ""FAX"" 210x30";"Kertas ""FAX"" 210x30";16;18500;
"Kertas ""FAX"" 216x30";"Kertas ""FAX"" 216x30";16;18500;
Kertas FC Bola Dunia 70 gr A3;Kertas FC Bola Dunia 70 gr A3;13;62000;
Kertas FC Bola Dunia 70 gr A4;Kertas FC Bola Dunia 70 gr A4;13;31000;
Kertas FC Bola Dunia 70 gr F4;Kertas FC Bola Dunia 70 gr F4;13;35000;
Kertas FC Bola Dunia 70 gr Kwarto;Kertas FC Bola Dunia 70 gr Kwarto;13;30500;
Kertas FC Bola Dunia 80 gr A3;Kertas FC Bola Dunia 80 gr A3;13;70000;
Kertas FC Bola Dunia 80 gr A4;Kertas FC Bola Dunia 80 gr A4;13;35000;
Kertas FC Bola Dunia 80 gr F4;Kertas FC Bola Dunia 80 gr F4;13;39000;
Kertas FC Bola Dunia 80 gr Kwarto;Kertas FC Bola Dunia 80 gr Kwarto;13;34500;
Kertas FC Sinar Dunia 70 gr A4;Kertas FC Sinar Dunia 70 gr A4;13;31000;
Kertas FC Sinar Dunia 70 gr F4;Kertas FC Sinar Dunia 70 gr F4;13;35000;
Kertas FC Sinar Dunia 80 gr A4;Kertas FC Sinar Dunia 80 gr A4;13;35000;
Kertas FC Sinar Dunia 80 gr F4;Kertas FC Sinar Dunia 80 gr F4;13;39000;
Kertas Flipchart 61x86 cm 16 (isi 25 14);Kertas Flipchart 61x86 cm 16 (isi 25 14);16;20000;
Kertas HVS 60g A4 Warna Cap Burung;Kertas HVS 60g A4 Warna Cap Burung;2;34000;
Kertas HVS 60g F4 Warna Cap Burung;Kertas HVS 60g F4 Warna Cap Burung;2;34000;
Kertas HVS 70 gr Folio Warna ;Kertas HVS 70 gr Folio Warna ;2;40000;
Kertas HVS 70 gr A4 Warna;Kertas HVS 70 gr A4 Warna;2;36000;
Kertas Koran (Buram) Folio / A4;Kertas Koran (Buram) Folio / A4;2;20000;
Label CD;Label CD;2;15000;
Label Sticker TOM & JERRY;Label Sticker TOM & JERRY;9;5000;
Label Sticker TOM & JERRY Ukuran A4;Label Sticker TOM & JERRY Ukuran A4;9;32500;
Lem DIAKOL Besar;Lem DIAKOL Besar;10;8500;
Lem O 'Glue Cair Lokal Panjang;Lem O 'Glue Cair Lokal Panjang;3;2500;
Lem Power Glue;Lem Power Glue;3;4500;
Lem Povinal 112;Lem Povinal 112;3;4000;
Lem Povinal 113 (Besar);Lem Povinal 113 (Besar);10;20000;
Lem Stick Kenko 15gr;Lem Stick Kenko 15gr;3;6000;
Lem Stick Kenko 25gr;Lem Stick Kenko 25gr;3;8000;
Lem Stick Kenko 8gr;Lem Stick Kenko 8gr;3;4500;
Lem Stick Artline 8 grm;Lem Stick Artline 8 grm;3;4500;
Lem Stick Artline 25 grm;Lem Stick Artline 25 grm;3;11000;
Lem Stick Artline 40 grm;Lem Stick Artline 40 grm;3;15000;
Lem Stick Bantex 22 gr;Lem Stick Bantex 22 gr;3;12000;
Lem Stick Bantex 35 gr;Lem Stick Bantex 35 gr;3;16000;
Lem Stick Bantex 8 gr;Lem Stick Bantex 8 gr;3;4500;
Letter Tray MICROTOP Elevated 2 tray;Letter Tray MICROTOP Elevated 2 tray;3;50000;
Letter Tray MICROTOP Elevated 3 tray;Letter Tray MICROTOP Elevated 3 tray;3;67500;
Letter Tray MICROTOP Executive 2 tray;Letter Tray MICROTOP Executive 2 tray;3;70000;
Letter Tray MICROTOP Executive 3 tray;Letter Tray MICROTOP Executive 3 tray;3;75000;
Magnet Whiteboard ;Magnet Whiteboard ;9;8000;
Map Biasa;Map Biasa;2;25000;
Map Business File Acco DAIICHI A4;Map Business File Acco DAIICHI A4;3;4500;
Map Business File Acco DAIICHI Folio;Map Business File Acco DAIICHI Folio;3;4500;
Map Clip File Bantex 3261 Folio;Map Clip File Bantex 3261 Folio;3;14500;
Map DIAMOND 5002  ;Map DIAMOND 5002  ;3;1350;
Map Kabita 1002;Map Kabita 1002;3;1500;
"Masking Tape 1""";"Masking Tape 1""";16;5000;
"Masking Tape 1/2""";"Masking Tape 1/2""";16;3500;
"Masking Tape 2""";"Masking Tape 2""";16;10000;
Memo Putar;Memo Putar;2;10000;
Name Card Album Bambi 256 Cards (6282);Name Card Album Bambi 256 Cards (6282);3;48000;
Name Card Album Kenko Isi 4 / hal;Name Card Album Kenko Isi 4 / hal;3;20000;
Name Card Case KENKO 4000;Name Card Case KENKO 4000;3;55000;
Name Card Case KENKO 6000;Name Card Case KENKO 6000;3;65000;
Ordner BAHARI 401,402,403;Ordner BAHARI 401,402,403;3;7000;
Ordner BANTEX 1450;Ordner BANTEX 1450;3;27500;
Ordner BANTEX F4 2 ring Large 7 cm (1465);Ordner BANTEX F4 2 ring Large 7 cm (1465);3;27500;
Ordner BANTEX F4 2 ring Small 5 cm (1466);Ordner BANTEX F4 2 ring Small 5 cm (1466);3;27500;
Ordner BINDEX Ecology 717 F4;Ordner BINDEX Ecology 717 F4;3;18000;
Ordner BINDEX Ecology 777 Kwitansi;Ordner BINDEX Ecology 777 Kwitansi;3;18000;
Ordner GEMA Folio;Ordner GEMA Folio;3;16500;
Ordner GEMA Kwitansi;Ordner GEMA Kwitansi;3;16500;
Ordner GOBI Folio;Ordner GOBI Folio;3;16500;
Ordner GOBI Kwitansi;Ordner GOBI Kwitansi;3;16500;
Ordner Gung Yu 401,402,403;Ordner Gung Yu 401,402,403;3;16000;
Pen OHP 4W;Pen OHP 4W;3;27500;
Pensil Artline 2B;Pensil Artline 2B;3;2500;
Pensil CHUNG HWA 2B Merah;Pensil CHUNG HWA 2B Merah;3;1000;
Pensil Mekanik PILOT H-165;Pensil Mekanik PILOT H-165;3;13500;
Pensil Mekanik PILOT H-185;Pensil Mekanik PILOT H-185;3;12500;
Pensil STAEDLER Lumograph 2B;Pensil STAEDLER Lumograph 2B;3;3000;
Pensil FABER CASTEL 2B;Pensil FABER CASTEL 2B;3;3000;
Penggaris Besi 100 cm;Penggaris Besi 100 cm;3;27500;
Penggaris Besi 30 cm;Penggaris Besi 30 cm;3;7000;
Penggaris Besi 40 cm;Penggaris Besi 40 cm;3;9000;
Penggaris Besi 50 cm;Penggaris Besi 50 cm;3;14000;
Penggaris Besi 60 cm;Penggaris Besi 60 cm;3;15000;
Penggaris Plastik BUTTERFLY 30 cm;Penggaris Plastik BUTTERFLY 30 cm;3;2000;
Penghapus Pensil STAEDLER 52650;Penghapus Pensil STAEDLER 52650;3;7500;
Penghapus Pensil STAEDLER B-40;Penghapus Pensil STAEDLER B-40;3;2000;
Penghapus Whiteboard;Penghapus Whiteboard;3;5000;
Pervorator KENKO No.30;Pervorator KENKO No.30;3;10000;
Pervorator KENKO No.40;Pervorator KENKO No.40;3;20000;
Pervorator KENKO No.85;Pervorator KENKO No.85;3;42500;
Pita Fullmark Brother 1030 ;Pita Fullmark Brother 1030 ;3;35000;
Pita Fullmark Brother 7020 ;Pita Fullmark Brother 7020 ;3;55000;
Pita Calculator Casio;Pita Calculator Casio;3;10000;
Pita Mesin Tik SWALLOW Hitam;Pita Mesin Tik SWALLOW Hitam;3;25000;
Pita Printer EPSON LQ-1070/1170 (7754);Pita Printer EPSON LQ-1070/1170 (7754);3;60000;
Pita Printer EPSON LQ-2180;Pita Printer EPSON LQ-2180;3;125000;
Pita Printer EPSON LX-300 (8750);Pita Printer EPSON LX-300 (8750);3;60000;
"Plakban Linen 1 1/2""";"Plakban Linen 1 1/2""";16;8000;
"Plakban Linen 1""";"Plakban Linen 1""";16;6500;
"Plakban Linen KENKO 2"" Hitam";"Plakban Linen KENKO 2"" Hitam";16;12500;
Plakban OPP Daimaru Plastik Bening / Coklat;Plakban OPP Daimaru Plastik Bening / Coklat;16;9000;
Plakban OPP Faster Plastik Bening / Coklat;Plakban OPP Faster Plastik Bening / Coklat;16;6500;
Plastik Laminanting Uk A3 TOHO;Plastik Laminanting Uk A3 TOHO;2;185000;
Plastik Laminanting Uk A4 TOHO;Plastik Laminanting Uk A4 TOHO;2;90000;
Plastik Laminanting Uk Folio;Plastik Laminanting Uk Folio;2;100000;
Plastik Laminanting Uk KTP 250 Micron;Plastik Laminanting Uk KTP 250 Micron;2;35000;
Pocket File Plastic Bambi A4 5220 (isi 20);Pocket File Plastic Bambi A4 5220 (isi 20);9;26000;
Pocket File Plastic Bambi F4 5221 (isi 20);Pocket File Plastic Bambi F4 5221 (isi 20);9;28500;
Pocket File Plastic BANTEX A4 2040 (isi 100);Pocket File Plastic BANTEX A4 2040 (isi 100);2;120000;
Pocket File Plastic BANTEX F4 8843 (isi 100);Pocket File Plastic BANTEX F4 8843 (isi 100);2;135000;
Post It 3M 670-5ANL Page Marker;Post It 3M 670-5ANL Page Marker;12;17500;
Post-It 12s 3M Fax-Note No.7671;Post-It 12s 3M Fax-Note No.7671;12;9000;
Post-It 12s 3M No. 653;Post-It 12s 3M No. 653;12;4500;
Post-It 12s 3M No. 654;Post-It 12s 3M No. 654;12;9000;
Post-It 12s 3M No. 655;Post-It 12s 3M No. 655;12;13500;
Post-It 12s 3M No. 656;Post-It 12s 3M No. 656;12;7500;
Post-it 12s 3M No. 657;Post-it 12s 3M No. 657;12;14500;
Post-It 12s 3M Sign Here;Post-It 12s 3M Sign Here;12;20000;
Post It 12s 3M Sign Here 4 Warna;Post It 12s 3M Sign Here 4 Warna;12;35000;
Post-It PRONTO Mark & Note ;Post-It PRONTO Mark & Note ;12;8500;
Push Pin JOYKO PN-30;Push Pin JOYKO PN-30;12;2500;
Refill Ballpoint SNOWMAN;Refill Ballpoint SNOWMAN;3;750;
Refill Correction Tape Wipper;Refill Correction Tape Wipper;3;18000;
Refill Pita EPSON 7755 / 8758  EPSON;Refill Pita EPSON 7755 / 8758  EPSON;3;15000;
Refill Pita EPSON 7755 / 8758 EPRINT;Refill Pita EPSON 7755 / 8758 EPRINT;3;12500;
Refill Pita EPSON LQ-2180 EPSON;Refill Pita EPSON LQ-2180 EPSON;3;20000;
Remover MAX;Remover MAX;3;27000;
Serutan Pencil Bulat Kaca;Serutan Pencil Bulat Kaca;3;1000;
Serutan Pencil KENKO Angel 5;Serutan Pencil KENKO Angel 5;3;55000;
Snel DIAMOND 5001;Snel DIAMOND 5001;3;1650;
Spidol ARTLINE 500 Whiteboard;Spidol ARTLINE 500 Whiteboard;3;7750;
Spidol ARTLINE 70 Permanent;Spidol ARTLINE 70 Permanent;3;6500;
Spidol SNOWMAN 12 Warna;Spidol SNOWMAN 12 Warna;9;15000;
Spidol SNOWMAN BG-12 Whiteboard ;Spidol SNOWMAN BG-12 Whiteboard ;3;6000;
Spidol SNOWMAN G-12 Permanent;Spidol SNOWMAN G-12 Permanent;3;5500;
Spidol SNOWMAN Kecil Warna-Warni;Spidol SNOWMAN Kecil Warna-Warni;3;1200;
STABILLO BOSS;STABILLO BOSS;3;7000;
Standard Book Lion No.7;Standard Book Lion No.7;9;25000;
Stapler MAX HD-10;Stapler MAX HD-10;3;12500;
Stapler MAX HD-10 D;Stapler MAX HD-10 D;3;28000;
Stapler MAX HD-50;Stapler MAX HD-50;3;55000;
Staples Max No.10;Staples Max No.10;11;2000;
Staples Max No.3;Staples Max No.3;11;4000;
Stempel Tanggal JOYKO D-3;Stempel Tanggal JOYKO D-3;3;10000;
Tali Plastik Rafia;Tali Plastik Rafia;16;15000;
Telstrook 58x48 ;Telstrook 58x48 ;2;16000;
Telstrook 58x65 ;Telstrook 58x65 ;2;27500;
Telstrook 75x65 ;Telstrook 75x65 ;2;34000;
Tinta Spidol Marking Ink G-12 Snowman;Tinta Spidol Marking Ink G-12 Snowman;10;9000;
Tinta Spidol Whiteboard BG-12 Snowman;Tinta Spidol Whiteboard BG-12 Snowman;10;12000;
Tinta Stempel ARTLINE;Tinta Stempel ARTLINE;10;25000;
Tinta Stempel PYRAMID;Tinta Stempel PYRAMID;10;6500;
Tipp Ex Cair;Tipp Ex Cair;10;6500;
Tipp Ex Cair RE-TYPE;Tipp Ex Cair RE-TYPE;9;6000;
Tipp Ex KENKO;Tipp Ex KENKO;3;4500;
Tipp Ex PENTEL 31-W;Tipp Ex PENTEL 31-W;3;25000;
Tipp Ex PENTEL 62-W;Tipp Ex PENTEL 62-W;3;22000;
Transparancy YASHICA A4;Transparancy YASHICA A4;2;35000;
Transparancy YASHICA F4;Transparancy YASHICA F4;2;35000;
Writing 12 ABE A4 Spiral;Writing 12 ABE A4 Spiral;3;6000;
Writing 12 Paperline A4;Writing 12 Paperline A4;3;6000;
Pita Amano 4780/4800 ( u/ SIBM);Pita Amano 4780/4800 ( u/ SIBM);3;120000;
Glossy Paper Fullmark A4;Glossy Paper Fullmark A4;2;150000;
